#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team,hometown_class
4,Meghan McIntyre,G,5-6,Gr.,"Garden Grove, CA",Southern Oregon/Orange Coast CC/Golden West CC,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/4_Meghan_McIntyre_Headshot.jpg?width=80&quality=90,usf,us_ca
7,Nevaeh Ferrara Horne,F,6-2,Jr.,"Regina, Saskatchewan, Canada",North Dakota,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/7_Nevaeh_Ferrera_Horne_Headshot.jpg?width=80&quality=90,usf,intl
9,Aina Cargol,G,5-9,Fr.,"Olot, Spain",Spar Girona,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/9_Aina_Cargol_Headshot.jpg?width=80&quality=90,usf,intl
10,Amy Pateman,G,5-8,Fr.,"Auckland, New Zealand",Westlake Girls High School,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/10_Amy_Pateman_Headshot.jpg?width=80&quality=90,usf,intl
12,Natasa Tausova,F,6-3,Fr.,"Poprad, Slovakia",Piestanske Cajky,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/12_Natasa_Tausova_Headshot.jpg?width=80&quality=90,usf,intl
14,Michelle Ugwah,F,6-1,R-So.,"Cork, Ireland",Morehead State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90,usf,intl
21,Olivia Williams,G,6-1,R-Sr.,"South San Francisco, CA",UC Irvine,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90,usf,us_ca
22,Paula Tirado,G,5-7,R-So.,"Mataro, Spain",IES Damia Campeny,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/22_Paula_Tirado_Headshot.jpg?width=80&quality=90,usf,intl
23,Candy Edokpaigbe,G,6-0,So.,"Naples, Italy",Seattle U,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90,usf,intl
24,Sol Castro,F,6-1,Gr.,"Rio Colorado, Argentina",Robert Morris,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90,usf,intl
32,Sophia Priestley,F,6-2,Fr.,"Oslo, Norway",Ullern IF Oslo,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90,usf,intl
1,Malvina Haziri,G,5-9,Fr.,"Vushtrria, Kosovo",KBF Prishtina,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90,wsu,intl
2,Eleonora Villa,G,5-8,Jr.,"Lissone, Italy",Costa Masnaga,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90,wsu,intl
5,Jean Chiu,G,5-7,Sr.,"Taipei, Taiwan",University of Taipei,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90,wsu,intl
6,Tahara Magassa,F,6-4,Fr.,"Paris, France",Saint-Amand Hainut,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg,wsu,intl
8,Mackenzie Chatfield,G,5-9,Jr.,"Auckland, New Zealand",Western Kentucky,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90,wsu,intl
9,Tanja Valancic,F,6-0,Fr.,"Ljubljana, Slovenia",Akson Ilirija,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90,wsu,intl
10,Charlotte Abraham,G,6-0,So.,"Cambrai, France",Lycee Marguerite de Flandre,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90,wsu,intl
12,Marta Alsina,G,5-11,So.,"Barcelona, Spain",Institut Joaquim Blume,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90,wsu,intl
15,Keandra Koorits,G/F,6-2,R-Fr.,"Tallinn, Estonia",Audentes Sports Gymnasium,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90,wsu,intl
25,Lauren Glazier,F,6-4,Sr.,"North Bend, WA",Mount Si HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90,wsu,us_nonca
33,Alex Covill,C,6-6,Jr.,"Missoula, MT",Missoula Hellgate HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90,wsu,us_nonca
55,Malia Ruud,F,6-2,Fr.,"Pasco, WA",Chiawana HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90,wsu,us_nonca
0,Goundo Diakite Bayo,F,6-1,Fr.,"Barcelona, Spain",IES Carles Vallbona,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90,portland,intl
2,Dyani Ananiev,G,6-2,R-So.,"St. Andrews, Australia",Wyndham,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90,portland,intl
3,Florence Dallow,G,6-2,R-So.,"Auckland, New Zealand",Epsom Girls Grammar School,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90,portland,intl
5,Aubrey Herrin,G,6-1,Fr.,"Kennewick, WA",Kamiakin HS,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90,portland,us_nonca
7,Tiffany Barbosa,G,5-10,So.,"Stockholm, Sweden",RIG Lulea,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90,portland,intl
9,Jada Kennedy,C,6-5,Fr.,"Melbourne, Australia",Siena College,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90,portland,intl
10,Natalie Fraley,G,6-0,Sr.,"Kelso, WA",Utah State / Kelso HS,https://portlandpilots.com/images/2025/10/15/Fraley_Natalie26web.JPG?width=80&quality=90,portland,us_nonca
12,Brynn Smith,G,6-0,Fr.,"Eugene, OR",Willamette HS,https://portlandpilots.com/images/2025/10/15/Smith_Brynn26web.JPG?width=80&quality=90,portland,us_nonca
14,Caitlin Monahan,G,5-10,R-Fr.,"Mercer Island, WA",Mercer Island HS,https://portlandpilots.com/images/2025/10/15/Monahan_Caitlyn26web.JPG?width=80&quality=90,portland,us_nonca
17,Nicole Anderson,G,5-8,Gr.,"Eastvale, CA",LMU / SMU / Rosary Academy,https://portlandpilots.com/images/2025/10/15/Rodriguez_Nicole26web.JPG?width=80&quality=90,portland,us_ca
20,Lainey Spear,F,6-2,Jr.,"Portland, OR",Beaverton HS,https://portlandpilots.com/images/2025/10/15/Spear_Lainey26web.JPG?width=80&quality=90,portland,us_nonca
22,Rhyan Mogel,G,5-10,Jr.,"Happy Valley, OR",Clackamas HS,https://portlandpilots.com/images/2025/10/15/Mogel_Rhyan26web.JPG?width=80&quality=90,portland,us_nonca
35,Camille Dake,G,6-0,Fr.,"Vista, CA",Rancho Buena Vista HS,https://portlandpilots.com/images/2025/10/15/Dake_Camille26web.jpg?width=80&quality=90,portland,us_ca
42,Ella Zimmerman,F/C,6-4,So.,"Redondo Beach, CA",Redondo Union HS,https://portlandpilots.com/images/2025/10/15/Zimmerman_Ella26web.JPG?width=80&quality=90,portland,us_ca
44,Julia Dalan,C/F,6-3,Fr.,"Centralia, WA",W.F. West HS,https://portlandpilots.com/images/2025/10/15/Dalan_Julia26web.JPG?width=80&quality=90,portland,us_nonca
0,Ysabella Von Seipler,G,5-10,Fr.,"Rocklin, CA",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=300,san diego,us_ca
1,Dresha Moore,F,6-0,So.,"Hawthorne, CA",,https://usdtoreros.com/images/2025/10/15/Dresha_Moore_Headshot.png?width=80&quality=90,san diego,us_ca
2,Ryanne Bahnsen-Price,F,6-0,Fr.,"Erie, CO",,https://usdtoreros.com/images/2025/10/15/Ryanne_Bahnsen-Price_Head_Shot.png?width=300,san diego,us_nonca
3,Lilly Amor,G,5-11,So.,"Melbourne, Victoria, Australia",,https://usdtoreros.com/images/2025/10/15/Ysabella_Von_Seipler_Head_Shot.png?width=80&quality=90,san diego,intl
4,Jessica Ajayi,G,5-10,Fr.,"Kent, WA",,https://usdtoreros.com/images/2025/10/15/Jessica_Ajayi_Head_Shot.png?width=80&quality=90,san diego,us_nonca
5,Lauren McCall,G,5-6,Jr.,"Boise, ID",,https://usdtoreros.com/images/2025/10/15/Lauren_McCall_Head_Shot.png?width=80&quality=90,san diego,us_nonca
6,Kylie Ray,G,5-8,So.,"La Crescenta, CA",Utah,https://usdtoreros.com/images/2025/10/15/Kylie_Ray_Head_Shot.png?width=80&quality=90,san diego,us_ca
10,Helen Holley,F,6-1,So.,"Cleveland, OH",Michigan State,https://usdtoreros.com/images/2025/10/15/Helen_Holley_Head_Shot.png?width=80&quality=90,san diego,us_nonca
11,Malia Tharpe,F,6-0,Jr.,"Cottesloe, Western Australia, Australia",,https://usdtoreros.com/images/2025/10/15/Malia_Tharpe_Head_Shot.png?width=80&quality=90,san diego,intl
12,Erica Carr,C,6-3,So.,"Grand Prairie, TX",,https://usdtoreros.com/images/2025/10/15/Erica_Carr_Headshot.png?width=80&quality=90,san diego,us_nonca
15,Eva Ruse,F,6-2,So.,"North Vancouver, British Columbia, Canada",,https://usdtoreros.com/images/2025/10/15/Eva_Ruse_Headshot.png?width=80&quality=90,san diego,intl
19,Jayden Rhodes,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Jayden_Rhodes_Head_Shot.png?width=80&quality=90,san diego,us_nonca
20,Hallie Rhodes,G,5-11,Sr.,"Keller, TX",Morehead State,https://usdtoreros.com/images/2025/10/15/Hallie_Rhodes_Head_Shot.png?width=80&quality=90,san diego,us_nonca
22,Ayla Williams,C,6-0,Fr.,"Las Vegas, NV",,https://usdtoreros.com/images/2025/10/15/Ayla_Williams_Headshot.png?width=80&quality=90,san diego,us_nonca
24,Olivia Owens,G,5-10,Fr.,"Columbus, OH",,https://usdtoreros.com/images/2025/10/15/Olivia_Owens_Head_Shot.png?width=80&quality=90,san diego,us_nonca
