#,Full Name,Pos.,Ht.,Year,Hometown,Previous School,ImageURL,Team
1,Kylee Mabry,G,5-11,Sr.,"Kaysville, Utah",,https://gouvu.com/images/2025/9/26/Kylee_ETh2r.jpg?width=146 ,utahvalley
3,Amanda Barcello,G/F,5-11,R-Sr.,"Chandler, Arizona",BYU,https://gouvu.com/images/2025/9/26/Amanda_Barcello_REy7T.jpg?width=146,utahvalley
5,Cambree Blackham,G,5-7,So.,"Lehi, Utah",,https://gouvu.com/images/2025/9/26/Cambree_Blackham_j7ytP.jpg?width=146,utahvalley
10,Saige Gibb,G,5-10,R-Sr.,"Raymond, Alberta, Canada",,https://gouvu.com/images/2025/9/26/Saige_Gibb_g2onZ.jpg?width=146,utahvalley
14,Kaylee Headrick,F,5-10,Sr.,"Bluffdale, Utah",Colorado State,https://gouvu.com/images/2025/9/26/Kaylee_Headrick_ONZQL.jpg?width=146,utahvalley
21,Naia Tanuvasa,G,5-10,So.,"Highland, Utah",BYU,https://gouvu.com/images/2025/9/26/Naia_Tanuvasa_8rWko.jpg?width=146,utahvalley
25,Halle Nelson,G/F,6-1,R-Sr.,"American Fork, Utah",Utah State,https://gouvu.com/images/2025/9/26/Halle_Nelson_8q5Ym.jpg?width=146,utahvalley
34,Tessa Chaney,C,6-3,Sr.,"Saratoga Springs, Utah",,https://gouvu.com/images/2025/9/26/Tessa_Chaney_9U9ym.jpg?width=146,utahvalley
44,Gracie Sorenson,C,6-4,Sr.,"Syracuse, Utah",Eastern Arizona,https://gouvu.com/images/2025/9/26/Gracie_Sorenson_WlPrb.jpg?width=146,utahvalley
0,Brooke Murrell,Forward,6-3,R-So.,"Aurora, Colorado",,https://denverpioneers.com/images/2025/10/7/Murrell.jpg?width=300,denver
3,Tori Baker,Guard,5-7,Fr.,"Highlands Ranch, Colorado",,https://denverpioneers.com/images/2025/10/7/Baker.jpg?width=300,denver
10,Coryn Watts,Guard,5-7,So.,"Aurora, Colorado",,https://denverpioneers.com/images/2025/10/7/Watts.jpg?width=300,denver
11,Karolina Padilla,Guard,5-7,Jr.,"Douglas, Arizona",,https://denverpioneers.com/images/2025/10/7/Padilla.jpg?width=300,denver
12,Laia Monclova,Guard,6-1,Jr.,"Mallorca, Spain",,https://denverpioneers.com/images/2025/10/7/Monclova.jpg?width=300,denver
13,Ana Conde,Center,6-0,So.,"Madrid, Spain",,https://denverpioneers.com/images/2025/10/7/Conde.jpg?width=300,denver
15,Jocelyn Medina,Guard,5-6,Jr.,"Arbuckle, California",,https://denverpioneers.com/images/2025/10/7/Medina.jpg?width=300,denver
32,Lily Esparza,Center,6-2,So.,"Rockford, Illinois",,https://denverpioneers.com/images/2025/10/7/Esparza.jpg?width=300,denver
0,Tahj-Monet Bloom,Forward,6-2,R-Fr.,"Okinawa, Japan",Mississippi State,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-07.jpg?width=300,nevada
1,Ahrray Young,Guard,5-11,R-Jr.,"Sacramento, Calif.",Tulsa,https://nevadawolfpack.com/images/2024/10/31/_1_Ahrray_Young.jpg?width=300,nevada
2,Izzy Sullivan,Guard,5-10,Jr.,"Sammamish, Wash.",,https://nevadawolfpack.com/images/2024/10/31/_2_Izzy_Sullivan.jpg?width=300,nevada
3,Imbie Jones,Forward,6-2,Jr.,"Seattle, Wash.",Wisconsin,https://nevadawolfpack.com/images/2024/10/31/_3_Imbie_Jones.jpg?width=300,nevada
4,Gabby Ramos,Guard,5-10,Fr.,"Clovis, Calif.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-11.jpg?width=300,nevada
10,Chloe Williams,Forward,6-3,Sr.,"Los Angeles, Calif.","Indiana State",https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-09.jpg?width=300,nevada
11,Britain Backus,Point Guard,5-7,Fr.,"Winnemucca, Nev.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-10.jpg?width=300,nevada
13,Amelia Raidaveta,Forward,6-2,R-Jr.,"Dubbo, New South Wales, Australia","Weber State",https://nevadawolfpack.comimages/2024/10/31/_13_Amelia_Raidaveta.jpg?width=300,nevada
23,Makayla Carter,Forward,6-2,Fr.,"Tucson, Ariz.",,https://nevadawolfpack.com//images/2025/9/11/wbb_headshots_MM_091025-06.jpg?width=300,nevada
24,Skylar Durley,Guard,5-9,Fr.,"Oklahoma City, Okla.",,https://nevadawolfpack.com/images/2025/9/11/wbb_headshots_MM_091025-05.jpg?width=300,nevada
34,Kendra Hicks,Forward,6-1,So.,"Portland, Ore.",,https://nevadawolfpack.com/images/2024/10/31/_34_Kendra_Hicks.jpg?width=300,nevada
1,Kira-May Filemu,G,5-11,So.,"Wattle Grove, New South Wales, Australia",,https://hawaiiathletics.com/images/2025/10/16/Filemu__Kira-May25_8411_xuC2b.JPG?width=146,hawaii
2,Teyahna Bond,G,5-8,Fr.,"Cairns, Australia",,https://hawaiiathletics.com/images/2025/10/16/Bond__Teyahna25_8065_NET1o.JPG?width=146,hawaii
3,Bailey Flavell,G,5-10,Fr.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Flavell__Bailey25_7613_ZgF4m.JPG?width=146,hawaii
6,Kyra Webb,G,6-1,Fr.,"Melbourne, Australia",,https://hawaiiathletics.com/images/2025/10/16/Webb__Kyra25_7559_88EOg.JPG?width=146,hawaii
7,Ella Collins,G,5-8,Fr.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Collins__Ella25_7495_HKAls.JPG?width=146,hawaii
8,Rebecca Moors,F,6-2,So.,"Sydney, Australia",,https://hawaiiathletics.com/images/2025/10/16/Moors__Rebecca25_8235_d2F1t.JPG?width=146,hawaii
10,Danijela Kujovic,F,6-1,Rf.,"Podgorica, Montenegro",,https://hawaiiathletics.com/images/2025/10/16/Kujovic__Danijela25_8348_oF4xu.JPG?width=146,hawaii
11,Keiara Curtis,G,5-8,Fr.,"Phoenix, Arizona",,https://hawaiiathletics.com/images/2025/10/16/Curtis__Keiara25_8014_VtB0Z.JPG?width=146,hawaii
12,Imani Perez,F,6-4,Sr.,"San Diego, California",,https://hawaiiathletics.com/images/2025/10/16/Perez__Imani25_8286_1vGfw.JPG?width=146,hawaii
20,Izzy Forsyth,G,6-0,Sr.,"Perth, Australia",,https://hawaiiathletics.com/images/2025/10/16/Forsyth__Izzy25_7789_MqPWa.JPG?width=146,hawaii
22,Jade Peacock,G,6-0,Jr.,"Gold Coast, Australia",UC San Diego,https://hawaiiathletics.com/images/2025/10/16/Peacock__Jade25_7961_9x7TF.JPG?width=146,hawaii
24,Ritorya Tamilo,C,6-5,So.,"Auckland, New Zealand",,https://hawaiiathletics.com/images/2025/10/16/Tamilo__Ritorya25_7707_yU2nA.JPG?width=146,hawaii
33,Saniyah Neverson,F,6-0,Sr.,"Oakland, California",Northern Arizona,https://hawaiiathletics.com/images/2025/10/16/Neverson__Saniyah25_7834_ZtuVz.JPG?width=146,hawaii
3,Ella Brubaker,G,6-0,Graduate Student,"University Place, WA",The Master's / Pepperdine,https://goseattleu.com/imgproxy/8wjRPnIdRZZIbDOXp3TME-SUmsnEUYX3bvwlw-7XL-4/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9NUEZSb0RjVmpqaFFvcktheXN5YnBnY2cwQmNOSGRjR1RyWGk2MXFVLnBuZw.png,seattle
4,Fia Proctor,F,6-2,Sophomore,"Bothell, WA",Wyoming,https://goseattleu.com/imgproxy/lT84Eiib8dxXLjZTLzwcEEjJ57UGhnWaudg-BO-H7HA/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9MNzlmZG5sVG5ROXRNQzVnR3dCUnJkV09lakFQcDVIRGFDYWZKaWxXLnBuZw.png,seattle
5,Dylan Mogel,G,5-9,Freshman,"Clackamas, OR",,https://goseattleu.com/imgproxy/GjzClbkFb4-W9mtTVxl3VaZ_1ZrH0WCOQzp4uRrZF3I/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9TUWt3dnhLbXM5VHFUeGVCY2dCenlwc0ZnMmdkbWdiY3JVQTZzN2xxLnBuZw.png,seattle
6,Andjela Bigovic,F,6-5,Graduate Student,"Herceg Novi, Montenegro",Cochise College / Tarleton State,https://goseattleu.com/imgproxy/ds2UsutAxUfSsMMBunNd2IIBY9_GXOiNYonQM8yQQzA/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9EbzRuSnI2WWtHcW1uOGx1Y2xaY1RrV004Y0pzN0EySldpczdPbUYxLnBuZw.png,seattle
7,Lucija Milkovic,C,6-6,Junior,"Sibenik, Croatia",Missouri,https://goseattleu.com/imgproxy/Y2iEJjG--ZJ35FBiK4Lfio9DERkR5zXEcJ3JCMnnyuc/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2dvc2VhdHRsZXUtY29tLXByb2QvMjAyNS8xMC8wOS9tZktnSEdkYmZETFdsa0FyeG8xbnpleDd1MWUzd0dtZjlwclpUUTdiLnBuZw.png,seattle
